R,G,B
5,1,2
5,1,2
4,0,1
4,0,1
4,0,1
4,1,2
6,2,3
6,2,3
5,1,2
4,0,1
4,0,1
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
6,2,3
6,2,3
7,3,4
7,3,4
6,2,3
6,2,3
3,1,2
1,1,3
1,2,4
3,5,4
4,6,5
5,5,5
4,4,4
3,2,0
2,1,0
7,3,2
7,3,2
8,2,2
8,3,0
8,3,0
10,2,0
10,2,0
11,1,0
13,1,1
15,1,1
15,1,1
14,0,0
14,0,0
13,0,0
13,0,0
14,0,0
14,0,0
17,2,0
19,4,0
19,4,0
18,3,0
16,1,0
16,1,0
15,1,0
8,2,2
7,2,6
7,2,6
7,2,6
6,1,5
6,1,5
6,1,5
6,1,5
10,5,9
12,6,10
12,6,10
11,5,9
12,3,8
12,3,8
15,4,10
17,6,10
17,6,2
19,6,0
20,7,1
20,7,1
20,7,1
21,8,2
22,7,2
22,7,2
22,7,2
25,7,3
26,8,6
27,9,7
28,8,7
27,7,6
25,5,4
24,5,1
26,7,1
26,7,0
26,7,0
27,8,1
27,8,1
28,9,2
28,9,2
28,9,2
31,12,5
28,9,2
26,7,0
27,8,1
30,12,2
30,12,2
29,11,1
26,8,0
29,9,0
30,8,0
30,8,0
30,7,0
30,7,0
32,9,1
34,9,2
35,10,3
36,9,2
35,8,1
34,6,2
35,6,2
34,5,1
33,4,0
32,3,0
31,3,0
29,6,0
27,7,0
28,8,1
28,8,1
28,8,3
29,8,3
29,8,3
30,9,6
31,7,5
30,6,4
28,4,4
28,2,3
27,1,4
26,1,4
27,2,5
28,3,7
25,4,11
25,4,13
26,5,14
26,5,14
25,4,13
24,3,12
22,1,10
21,0,7
25,4,11
23,2,9
21,0,7
19,0,5
19,0,5
21,0,7
23,2,9
24,4,13
23,7,17
16,4,14
13,2,10
10,0,8
8,3,9
7,5,8
7,7,9
6,7,9
1,5,6
1,5,8
1,4,9
1,4,9
3,3,11
3,3,13
4,2,13
5,2,13
6,0,10
8,1,9
8,1,8
9,2,9
10,3,10
11,5,9
11,5,9
13,4,9
10,1,4
11,2,5
11,2,5
11,2,5
10,1,2
10,1,2
9,0,1
7,2,0
7,6,2
5,4,0
3,2,0
4,0,0
7,1,3
11,2,5
12,1,7
12,1,7
10,0,5
10,0,5
9,0,3
7,1,3
6,2,1
6,2,0
4,3,0
4,3,0
4,3,0
4,3,0
4,3,0
4,3,1
4,3,1
4,3,1
4,3,1
4,2,3
6,4,5
4,2,5
2,0,3
1,0,4
1,0,4
5,1,2
5,1,2
4,0,1
4,0,1
5,1,2
6,2,3
6,2,3
6,2,3
6,2,3
5,1,2
4,0,1
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
4,2,3
4,2,3
2,2,2
1,2,4
1,2,4
3,5,4
3,5,4
4,4,4
4,4,4
3,2,0
5,1,0
7,3,2
8,2,2
8,3,0
10,2,0
10,2,0
11,1,0
11,1,0
11,1,0
13,1,1
13,1,1
