R,G,B,T
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,234,298
17,17,173,298
17,17,217,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,207,298
17,17,198,298
17,17,220,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,195,298
8,8,70,298
5,5,76,298
16,16,236,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,208,298
17,17,179,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,221,298
17,17,182,298
17,17,223,298
17,17,237,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,233,298
17,17,172,298
17,17,219,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,199,298
17,17,202,298
17,17,227,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
12,12,125,298
7,7,66,298
10,10,144,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,205,298
17,17,180,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,216,298
17,17,177,298
17,17,232,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,232,298
17,17,171,298
17,17,222,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
16,16,238,298
33,33,240,298
96,96,244,298
0,0,170,298
0,0,239,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,247,298
0,0,178,298
0,0,240,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,253,298
0,0,186,298
0,0,227,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,231,298
0,0,208,298
0,0,227,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,215,298
0,0,84,298
0,0,71,298
0,0,244,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,223,298
0,0,185,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,245,298
0,0,178,298
0,0,242,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,252,298
0,0,181,298
0,0,232,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,221,298
0,0,210,298
0,0,235,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,205,298
0,0,72,298
0,0,82,298
0,0,254,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,221,298
0,0,187,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,237,298
0,0,191,298
0,0,239,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,251,298
0,0,179,298
0,0,235,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,210,298
0,0,214,298
0,0,243,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,130,298
0,0,68,298
0,0,156,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,218,298
0,0,189,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,231,298
0,0,185,298
0,0,250,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,249,298
0,0,179,298
0,0,237,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
16,16,255,298
85,85,255,298
0,0,170,298
0,0,237,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,245,298
0,0,176,298
0,0,238,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,252,298
0,0,184,298
0,0,225,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,229,298
0,0,206,298
0,0,225,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,214,298
0,0,84,298
0,0,71,298
0,0,242,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,222,298
0,0,183,298
0,0,254,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,244,298
0,0,176,298
0,0,240,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,250,298
0,0,179,298
0,0,230,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
0,0,255,298
