R,G,B
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
5,3,4
5,2,4
5,3,4
5,3,4
5,3,4
5,3,4
6,2,3
6,2,3
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
6,6,6
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
5,5,5
6,6,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,4,6
4,4,6
5,3,6
5,3,6
5,3,6
5,3,4
5,3,4
7,3,2
7,3,2
7,3,2
7,3,0
10,7,2
9,6,0
8,5,0
7,4,0
7,2,0
7,2,0
8,3,0
9,4,0
13,6,0
15,8,2
17,8,3
17,8,3
15,6,1
14,3,0
14,3,0
14,3,0
17,6,4
17,6,4
17,6,4
16,5,3
15,4,2
15,4,2
16,2,1
16,2,1
19,3,4
19,3,4
19,3,4
22,3,5
23,4,6
24,5,7
24,5,7
26,6,7
29,5,3
29,3,2
28,2,1
28,2,1
28,2,1
29,3,2
30,4,3
31,4,4
36,10,9
34,8,7
32,6,5
31,5,4
31,5,6
33,7,8
35,9,10
36,12,10
31,14,4
28,14,1
29,13,0
28,12,0
29,11,0
31,11,0
35,13,2
37,13,3
36,9,0
39,10,2
41,11,3
43,10,3
42,9,2
43,8,2
45,10,4
48,11,5
48,9,2
46,8,0
45,6,0
46,7,0
47,10,2
48,11,3
47,10,2
42,7,1
45,10,4
42,9,2
41,8,1
39,9,1
40,10,2
40,10,2
37,8,0
35,8,0
36,9,0
35,11,1
39,12,3
41,12,4
42,12,4
41,11,3
42,9,4
42,9,4
41,10,7
41,10,7
39,10,6
37,9,6
36,8,5
33,8,4
31,7,3
29,8,5
27,5,7
27,7,9
28,8,10
27,8,10
27,8,10
24,8,9
22,7,10
20,8,10
19,7,11
20,9,13
20,11,15
16,10,14
12,6,10
9,3,7
9,4,8
12,6,8
20,9,13
18,6,10
13,2,6
11,0,4
12,1,5
13,4,9
14,5,10
12,6,10
10,4,8
9,4,8
10,5,11
8,6,11
8,6,11
6,4,9
4,3,9
4,2,7
10,5,9
11,5,7
10,4,6
10,4,6
10,4,6
9,3,5
9,3,5
9,3,5
11,5,7
10,4,6
9,3,5
9,0,3
9,0,3
10,1,4
11,2,5
12,3,8
9,0,7
10,0,8
8,1,8
9,2,9
8,3,9
9,4,8
7,5,8
7,5,8
4,2,5
4,2,7
6,1,7
6,1,7
7,0,7
7,0,7
9,0,7
7,0,7
4,0,3
4,0,1
4,0,1
5,1,2
5,1,2
6,2,3
6,2,3
7,3,4
5,1,2
5,1,2
5,1,2
5,1,2
5,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
7,3,4
6,2,3
6,2,3
4,1,2
3,1,2
4,2,3
4,2,3
5,3,4
6,6,6
5,5,5
4,4,4
3,3,3
3,3,3
4,4,4
5,5,5
5,5,5
4,4,6
4,3,8
4,4,6
4,4,6
4,4,6
4,4,6
5,3,4
5,3,4
7,3,4
7,3,4
7,3,4
7,3,2
7,3,2
7,3,2
7,3,2
7,3,0
10,7,2
9,6,1
8,5,0
7,4,0
7,2,0
7,2,0
8,3,0
8,3,0
14,6,3
16,8,5
18,8,6
18,8,6
17,6,4
15,4,2
15,4,2
15,4,2
17,6,4
17,6,2
16,5,0
16,5,1
17,3,0
17,3,0
17,3,0
16,2,1
19,3,3
19,3,3
20,4,4
20,4,4
21,5,5
22,6,6
25,7,7
26,6,5
30,6,4
31,6,2
30,5,1
29,4,0
30,5,1
31,6,2
32,7,3
33,8,4
36,11,7
35,10,6
33,8,4
32,7,3
32,6,5
34,8,7
36,10,9
37,13,9
30,12,2
29,13,0
28,12,0
29,11,0
29,9,0
32,10,0
35,8,0
36,8,0
37,7,0
41,8,0
44,10,1
47,8,1
48,7,1
49,8,2
52,8,3
54,11,4
55,12,3
53,10,1
52,9,0
52,12,2
54,14,4
55,15,5
53,15,6
52,14,5
50,13,4
49,12,3
46,12,3
46,12,3
47,13,4
46,13,4
45,12,3
42,12,1
44,14,3
44,16,2
46,17,3
49,17,6
50,16,6
51,14,6
51,12,5
50,11,6
49,12,6
49,12,6
46,11,6
44,11,6
41,10,7
39,10,6
37,9,5
35,10,6
33,5,4
34,5,7
33,7,8
33,7,8
32,8,8
31,7,7
28,6,8
27,7,8
29,10,12
29,13,14
29,15,15
25,13,13
22,10,10
19,9,8
19,9,8
22,10,10
25,9,10
26,7,9
24,8,9
24,8,9
24,9,12
24,9,12
20,8,12
17,6,10
13,4,7
15,5,10
12,6,10
12,7,13
12,7,13
9,7,12
8,5,12
7,5,10
10,5,6
10,4,6
10,4,6
10,4,6
10,4,6
10,4,6
10,4,6
9,3,5
9,3,5
8,2,6
7,1,5
6,0,4
6,0,4
7,1,5
8,2,6
9,3,7
9,0,7
9,0,8
8,1,9
8,1,8
9,3,9
6,4,7
6,4,7
7,5,8
4,2,5
4,2,5
6,1,5
6,1,5
7,0,7
9,0,7
10,0,7
9,0,5
6,0,2
5,1,2
5,1,2
6,2,3
6,2,3
6,2,3
7,3,4
7,3,4
6,2,3
6,2,3
6,2,3
6,2,3
6,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
7,3,4
6,2,3
6,2,3
5,1,2
3,1,2
4,2,3
4,2,3
5,3,4
6,4,5
5,3,4
4,2,3
3,1,2
3,3,3
3,3,2
4,4,4
6,4,5
7,3,4
7,3,4
7,3,4
