R,G,B
4,2,3
3,1,2
2,0,1
3,1,2
4,2,3
4,2,3
2,0,1
2,0,1
3,1,2
6,2,3
6,2,1
8,2,2
9,3,3
11,2,3
11,2,3
11,2,3
10,1,2
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
7,1,3
3,1,2
4,4,6
5,5,7
3,3,5
1,1,1
1,0,0
4,2,3
9,5,6
8,4,5
8,4,5
9,3,3
9,3,3
11,2,3
11,2,3
11,2,3
11,2,3
8,2,2
10,2,0
10,2,0
11,3,1
11,3,1
13,3,1
14,3,0
14,3,1
19,5,2
15,1,0
16,1,0
21,6,1
22,7,2
19,1,0
17,0,0
16,1,0
20,6,5
18,4,3
15,1,0
17,1,1
21,3,3
22,4,4
22,2,4
20,0,2
25,3,6
27,2,6
27,2,6
28,1,6
29,0,5
29,0,5
29,0,5
29,0,2
33,5,1
31,7,0
31,7,0
31,7,0
31,7,0
31,6,0
31,6,0
31,6,0
33,8,3
34,9,4
34,9,4
34,9,4
34,9,5
34,9,5
35,10,6
35,10,5
39,17,6
38,16,5
35,13,2
33,11,0
33,11,0
35,11,1
36,13,2
39,12,3
40,13,6
41,12,6
40,11,5
39,10,4
39,8,5
38,7,4
37,6,3
36,7,1
38,13,6
36,13,5
36,13,5
35,12,4
34,11,3
32,9,1
31,8,0
30,7,0
33,10,2
31,11,2
30,10,1
30,10,1
30,10,3
30,10,3
30,10,3
30,9,4
28,7,4
28,7,6
27,6,6
25,7,5
23,8,5
21,8,2
21,8,2
19,8,2
16,5,0
16,5,0
17,6,0
17,6,0
18,8,0
18,8,0
21,8,0
21,8,2
16,2,1
16,0,3
16,0,3
17,1,4
19,3,6
20,4,7
19,3,6
18,2,5
15,0,3
14,0,2
11,1,2
10,1,2
8,2,2
6,2,1
6,2,1
4,2,3
3,2,7
3,3,11
5,4,12
5,4,10
5,4,10
6,4,9
9,4,8
10,6,7
11,5,7
12,3,4
12,2,1
11,1,0
11,0,0
12,1,0
12,1,0
15,1,0
14,0,4
14,0,6
12,0,6
13,2,8
13,4,9
13,4,9
8,2,6
5,0,4
7,2,6
7,2,8
7,2,9
7,2,8
7,1,11
8,0,11
8,0,11
8,1,9
4,0,3
5,1,2
7,3,4
8,4,5
9,5,6
8,4,5
8,4,5
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
4,2,3
3,1,2
2,0,1
3,1,2
4,2,3
4,2,3
2,0,1
2,0,1
3,1,2
6,2,3
6,0,0
6,0,0
9,0,1
10,1,2
10,1,2
9,0,1
8,0,0
8,0,0
9,0,1
9,0,1
9,0,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
4,2,3
4,4,4
5,3,4
4,2,3
2,0,1
2,1,0
4,3,1
9,5,4
8,4,3
9,3,3
9,3,3
11,2,3
11,2,3
11,2,3
11,2,3
11,2,3
10,1,2
10,1,2
11,3,1
11,3,1
11,3,1
13,3,2
14,3,1
16,2,1
18,4,1
16,1,0
16,1,0
24,6,2
26,8,4
23,6,0
21,4,0
22,4,0
21,6,3
18,4,1
17,2,0
18,3,0
22,4,2
23,5,3
22,2,3
21,1,2
27,5,7
29,4,7
30,4,7
30,4,7
31,2,6
31,2,6
31,2,6
32,2,2
35,6,0
35,7,0
35,7,0
35,7,0
35,7,0
35,6,0
35,6,0
35,6,0
35,6,0
35,6,0
35,6,0
35,6,0
36,7,3
36,7,3
36,7,3
36,7,1
39,12,1
37,14,0
37,14,0
39,12,1
38,11,0
37,10,0
38,10,0
37,9,0
41,11,3
41,10,3
43,10,3
43,10,3
45,10,4
45,10,4
45,10,4
44,11,4
46,17,9
44,17,6
42,15,4
40,13,2
40,13,2
40,13,2
42,15,4
42,15,6
41,14,5
40,13,4
40,13,4
40,13,4
40,13,6
40,13,6
40,13,6
40,12,8
37,9,6
35,9,8
33,9,7
33,9,7
29,10,6
27,9,5
27,10,3
25,10,3
21,8,0
22,9,1
22,9,1
22,9,1
24,10,1
24,10,1
27,10,2
27,10,3
25,7,5
24,5,7
23,4,6
24,4,6
25,5,7
25,5,7
24,4,6
22,3,5
25,6,8
23,7,8
19,7,7
17,7,6
13,8,5
12,8,5
11,7,4
9,7,8
3,2,8
3,3,11
4,3,11
4,3,11
3,2,8
4,2,7
7,2,6
8,2,4
11,2,3
10,1,2
10,0,0
10,0,0
10,0,0
12,0,0
13,0,0
14,0,0
16,0,3
15,0,6
14,0,6
12,0,4
13,2,6
12,3,6
8,2,4
6,1,5
7,2,6
7,2,8
7,2,8
7,2,9
8,1,9
8,0,11
10,0,11
10,0,9
5,0,3
5,1,2
7,3,4
8,4,5
9,5,6
8,4,5
7,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,2,4
7,3,4
7,3,4
4,2,3
3,1,2
2,0,1
4,2,3
5,3,4
4,2,3
3,1,2
2,0,1
3,1,2
6,2,3
5,0,0
8,0,0
8,0,0
9,0,1
7,1,1
6,0,0
6,0,0
5,0,0
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
6,2,1
7,3,2
7,3,2
7,3,2
6,2,1
5,1,0
6,0,0
8,2,2
10,4,4
9,3,3
11,3,1
11,3,1
12,2,1
12,2,1
12,2,1
12,2,1
12,2,3
12,1,5
12,1,7
12,1,5
13,2,6
13,2,6
14,2,6
15,3,7
17,2,7
19,3,6
19,0,4
20,1,3
25,5,7
28,8,10
28,6,9
27,5,8
27,7,8
23,5,1
22,4,0
