R,G,B,T
89,89,139,298
10,10,164,298
0,0,169,298
1,1,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,174,298
0,0,146,298
0,0,113,298
0,0,170,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,174,298
0,0,149,298
0,0,112,298
0,0,169,298
0,0,168,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,175,298
0,0,142,298
0,0,115,298
0,0,172,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,164,298
0,0,178,298
0,0,130,298
0,0,36,298
0,0,56,298
0,0,174,298
0,0,168,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,175,298
0,0,139,298
0,0,117,298
0,0,173,298
0,0,166,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,175,298
0,0,142,298
0,0,115,298
0,0,172,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,175,298
0,0,135,298
0,0,120,298
0,0,174,298
0,0,166,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,168,298
0,0,162,298
0,0,134,298
0,0,135,298
0,0,171,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,166,298
0,0,168,298
0,0,52,298
0,0,27,298
0,0,156,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,171,298
0,0,146,298
0,0,131,298
0,0,153,298
0,0,169,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,176,298
0,0,128,298
0,0,126,298
0,0,175,298
0,0,165,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,174,298
0,0,129,298
0,0,131,298
0,0,169,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,175,298
0,0,125,298
0,0,129,298
0,0,176,298
0,0,165,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,165,298
0,0,170,298
0,0,31,298
0,0,45,298
0,0,156,298
0,0,169,298
0,0,166,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,175,298
0,0,122,298
0,0,133,298
0,0,176,298
0,0,165,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,173,298
0,0,117,298
0,0,139,298
0,0,175,298
0,0,165,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,166,298
0,0,174,298
0,0,119,298
0,0,136,298
0,0,175,298
0,0,165,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
0,0,167,298
1,1,167,298
0,0,165,298
10,10,170,298
89,89,198,298
89,89,163,298
10,10,236,298
0,0,250,298
1,1,244,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,243,298
0,0,255,298
0,0,214,298
0,0,166,298
0,0,250,298
0,0,246,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,243,298
0,0,255,298
0,0,218,298
0,0,164,298
0,0,248,298
0,0,246,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,242,298
0,0,255,298
0,0,209,298
0,0,169,298
0,0,252,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,245,298
0,0,240,298
0,0,255,298
0,0,190,298
0,0,52,298
0,0,82,298
0,0,255,298
0,0,246,298
0,0,244,298
0,0,245,298
0,0,245,298
