R,G,B
89,89,139
10,10,164
0,0,169
1,1,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,174
0,0,146
0,0,113
0,0,170
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,174
0,0,149
0,0,112
0,0,169
0,0,168
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,175
0,0,142
0,0,115
0,0,172
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,164
0,0,178
0,0,130
0,0,36
0,0,56
0,0,174
0,0,168
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,175
0,0,139
0,0,117
0,0,173
0,0,166
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,175
0,0,142
0,0,115
0,0,172
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,175
0,0,135
0,0,120
0,0,174
0,0,166
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,168
0,0,162
0,0,134
0,0,135
0,0,171
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,166
0,0,168
0,0,52
0,0,27
0,0,156
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,171
0,0,146
0,0,131
0,0,153
0,0,169
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,176
0,0,128
0,0,126
0,0,175
0,0,165
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,174
0,0,129
0,0,131
0,0,169
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,175
0,0,125
0,0,129
0,0,176
0,0,165
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,165
0,0,170
0,0,31
0,0,45
0,0,156
0,0,169
0,0,166
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,175
0,0,122
0,0,133
0,0,176
0,0,165
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,173
0,0,117
0,0,139
0,0,175
0,0,165
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,167
0,0,166
0,0,174
0,0,119
0,0,136
0,0,175
0,0,165
0,0,167
0,0,167
0,0,167
