R,G,B
232,232,232
178,178,174
178,178,170
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,172
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,172
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
181,181,175
132,132,132
0,0,0
16,16,16
164,164,157
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,172
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,172
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,170
178,178,174
178,178,173
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
180,180,173
147,147,146
5,5,5
7,7,7
152,152,146
179,179,172
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,172
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,174
178,178,173
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,170
178,178,174
178,178,173
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,170
177,177,174
46,46,46
0,0,0
96,96,92
183,183,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,175
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,174
178,178,173
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,170
178,178,174
178,178,173
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
178,178,171
232,232,229
178,178,174
1,1,69
1,1,135
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,133
1,1,108
1,1,55
1,1,134
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,119
1,1,48
1,1,131
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,134
1,1,57
1,1,106
1,1,133
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,122
1,1,14
0,0,0
0,0,12
1,1,121
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,132
1,1,133
1,1,107
1,1,56
1,1,134
