R,G,B,T
86,86,141,298
16,16,164,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,153,298
0,0,119,298
0,0,167,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,155,298
0,0,118,298
0,0,166,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,149,298
0,0,121,298
0,0,168,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,172,298
0,0,129,298
0,0,53,298
0,0,58,298
0,0,165,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,145,298
0,0,123,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,147,298
0,0,122,298
0,0,168,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,141,298
0,0,126,298
0,0,170,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,161,298
0,0,140,298
0,0,138,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,155,298
0,0,64,298
0,0,43,298
0,0,145,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,148,298
0,0,137,298
0,0,153,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,171,298
0,0,134,298
0,0,133,298
0,0,171,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,134,298
0,0,139,298
0,0,166,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,130,298
0,0,137,298
0,0,171,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,168,298
0,0,156,298
0,0,39,298
0,0,65,298
0,0,147,298
0,0,171,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,170,298
0,0,127,298
0,0,141,298
0,0,171,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,122,298
0,0,147,298
0,0,171,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
0,0,169,298
