R,G,B
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
2,0,1
4,2,3
6,4,5
6,4,5
5,3,4
3,1,2
2,0,1
2,0,1
4,2,3
6,4,5
6,4,5
5,3,4
3,1,2
3,1,2
4,2,3
4,3,1
4,3,0
4,3,0
4,3,0
6,2,0
6,2,0
6,2,0
6,2,0
6,1,0
6,1,0
10,2,0
10,2,0
10,2,0
10,2,0
8,0,0
6,0,0
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
3,1,2
3,0,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
5,0,3
5,0,6
6,1,7
4,1,8
2,1,9
1,0,8
0,0,7
6,5,13
5,2,11
7,2,9
12,2,10
13,2,8
12,0,4
14,0,4
14,2,6
6,1,5
3,1,6
6,1,7
8,2,6
11,2,7
14,3,7
15,3,5
17,3,2
15,1,0
16,2,0
17,4,0
17,4,0
14,4,0
13,3,0
14,5,0
16,6,0
17,2,0
20,1,0
20,1,0
22,1,0
23,1,0
24,1,0
25,2,0
25,2,0
23,0,1
21,0,0
21,2,0
20,2,0
18,2,2
16,2,2
16,1,4
13,1,5
12,3,4
10,1,2
10,1,2
13,3,4
13,3,4
11,0,1
11,0,1
13,1,3
11,1,2
12,2,3
10,1,2
7,1,1
6,2,1
4,3,1
6,5,3
6,6,4
4,4,4
4,4,4
3,3,3
2,2,4
2,1,6
2,1,7
3,2,8
4,3,9
4,3,9
3,4,8
2,3,5
1,3,2
1,3,2
2,4,1
3,5,0
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
2,0,1
4,2,3
6,4,5
7,5,6
6,4,5
5,3,4
4,3,3
2,0,1
4,2,3
6,4,5
6,4,5
4,2,3
3,1,2
3,1,2
4,2,3
4,3,1
4,3,1
4,3,1
4,3,1
6,2,1
6,2,1
6,2,1
6,2,1
6,0,0
7,1,1
7,1,1
8,2,2
10,1,2
9,0,1
9,0,1
6,0,0
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,4
3,1,4
3,2,7
3,2,7
2,3,8
2,3,8
1,2,7
0,1,6
6,5,10
5,3,8
8,2,6
12,3,6
15,3,5
14,0,0
15,0,0
18,2,2
12,0,0
13,0,0
15,0,0
19,1,0
24,3,2
28,4,2
30,6,2
34,7,2
29,2,0
31,4,0
33,6,0
34,8,0
34,8,0
34,8,0
34,11,0
38,12,0
37,8,0
39,7,0
39,7,0
41,8,0
41,8,0
43,7,0
44,8,0
44,8,0
42,6,0
40,6,0
38,6,0
35,5,0
33,4,0
32,5,0
32,4,0
29,6,0
26,7,0
23,6,0
22,5,0
25,6,0
24,5,0
21,2,0
21,2,0
23,4,0
21,3,1
18,3,0
16,2,0
13,2,0
11,1,0
11,3,0
10,5,2
9,5,2
8,4,3
7,3,4
6,2,3
6,1,5
6,1,4
4,2,7
5,3,8
6,4,9
6,4,9
5,3,8
4,2,5
2,2,2
2,2,0
3,4,0
4,5,0
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
6,4,7
6,4,7
6,4,7
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
6,5,5
6,4,5
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
0,0,0
2,0,1
4,2,3
6,4,5
7,5,6
7,5,6
6,4,5
6,4,5
3,1,2
4,2,3
5,3,4
5,3,4
4,2,3
3,1,2
4,2,3
5,3,4
5,4,2
5,4,2
5,4,2
5,5,2
7,3,2
7,3,2
7,3,2
7,3,2
7,1,1
7,1,1
7,1,1
7,1,1
9,0,1
9,0,1
9,0,1
7,1,1
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
3,1,2
3,1,2
3,1,2
2,2,4
1,2,4
1,2,6
2,3,7
0,4,7
0,2,6
1,2,6
2,2,4
7,5,6
7,3,2
10,2,0
15,4,0
18,3,0
19,2,0
20,1,0
25,2,0
23,0,0
28,0,0
33,3,0
38,5,0
42,8,0
48,10,0
52,12,0
56,14,0
53,10,0
56,13,0
60,18,0
62,20,0
63,21,0
65,24,0
67,26,0
69,28,0
69,25,0
70,24,0
71,24,0
72,25,0
72,25,0
75,25,0
75,25,0
75,25,0
74,24,0
70,23,0
67,21,0
64,19,0
60,18,0
59,18,0
60,19,1
57,20,2
51,20,0
45,18,0
45,16,0
45,16,0
44,15,0
40,11,0
38,8,0
39,10,0
35,8,0
31,6,0
28,5,0
23,4,0
22,5,0
20,5,0
18,5,0
15,6,1
11,2,1
9,4,1
8,2,2
7,1,3
7,1,3
